"Designator;Val;Package;Mid X;Mid Y;Rotation;Layer"
"C1;""2.2 uF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";96.000000;-122.000000;-90.000000;top"
"C2;""220 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-97.000000;0.000000;top"
"C3;""22 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-99.000000;0.000000;top"
"C4;""220 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";101.000000;-116.000000;0.000000;top"
"C5;""22 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";101.000000;-118.000000;0.000000;top"
"C6;""2.2 uF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";96.000000;-108.000000;-90.000000;top"
"C7;""100uF"";""EEE1AA101SP"";73.000000;-107.000000;-90.000000;top"
"C8;""100uF"";""EEE1AA101SP"";76.000000;-92.000000;-90.000000;top"
"C9;""1 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-148.000000;0.000000;top"
"C10;""100 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";83.000000;-147.000000;-90.000000;top"
"C11;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";70.000000;-100.000000;0.000000;top"
"C12;""1 µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";81.000000;-147.000000;-90.000000;top"
"C13;""MKP1847H55025JK2"";""MKP1847H55025JK2"";106.250000;-113.000000;0.000000;top"
"C14;""220nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";82.000000;-112.000000;-90.000000;top"
"C15;""220nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";92.000000;-130.000000;0.000000;top"
"C17;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";65.000000;-100.000000;-90.000000;top"
"C18;""100 nF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";74.000000;-82.000000;90.000000;top"
"C19;""100 nF"";""C_0805_2012Metric"";128.000000;-145.000000;0.000000;top"
"C21;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";64.000000;-109.000000;-90.000000;top"
"C23;""100uF"";""EEE1AA101SP"";58.000000;-118.000000;0.000000;top"
"C25;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";82.000000;-92.000000;-90.000000;top"
"C26;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";79.000000;-107.000000;-90.000000;top"
"C27;""1µF"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";56.000000;-124.000000;0.000000;top"
"D1;""FSV2060L"";""FSV2060L"";101.000000;-62.000000;-90.000000;top"
"D2;""FSV2060L"";""FSV2060L"";101.985000;-84.930000;-90.000000;top"
"D3;""FSV2060L"";""FSV2060L"";118.985000;-61.930000;-90.000000;top"
"D4;""SP0503BAHT"";""SOT-143"";93.000000;-145.000000;0.000000;top"
"D5;""FSV2060L"";""FSV2060L"";120.985000;-84.930000;-90.000000;top"
"D6;""S210"";""DIOM5336X265N"";84.000000;-98.000000;90.000000;top"
"D7;""S210"";""DIOM5336X265N"";102.150000;-95.000000;0.000000;top"
"D8;""S210"";""DIOM5336X265N"";84.000000;-74.000000;0.000000;top"
"D9;""S210"";""DIOM5336X265N"";84.150000;-85.000000;0.000000;top"
"D10;""S210"";""DIOM5336X265N"";103.150000;-77.000000;0.000000;top"
"D11;""S210"";""DIOM5336X265N"";100.000000;-123.000000;-90.000000;top"
"IC2;""L7812ABD2T-TR"";""L7812ABD2TTR"";67.375000;-91.000000;90.000000;top"
"IC5;""ACS37800KMACTR-030B3-I2C"";""ACS37002LMCA050U5"";124.000000;-135.000000;-90.000000;top"
"J1;""TMS-102-21-G-S"";""TMS-102-YY-XX-S"";56.500000;-136.500000;-90.000000;top"
"J4;""TMS-102-21-G-S"";""TMS-102-YY-XX-S"";66.000000;-125.730000;-90.000000;top"
"J5;""TMS-102-21-G-S"";""TMS-102-YY-XX-S"";135.000000;-146.270000;90.000000;top"
"L1;""IH15BQ5R0K"";""IH15BQ5R0K"";138.000000;-70.100000;-90.000000;top"
"LED1;""TLMG1100-GS15"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";67.000000;-115.000000;90.000000;top"
"LED2;""TLMG1100-GS15"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";71.000000;-115.000000;90.000000;top"
"LED3;""TLMG1100-GS15"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";69.000000;-115.000000;90.000000;top"
"P1;""USB_C_Plug_USB2.0"";""USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A"";100.250000;-147.000000;0.000000;top"
"Q1;""IRLB4030PBF"";""TO254P483X1016X1994-3P"";91.460000;-71.810000;0.000000;top"
"Q2;""IRLB4030PBF"";""TO254P483X1016X1994-3P"";90.460000;-94.000000;0.000000;top"
"Q3;""IRLB4030PBF"";""TO254P483X1016X1994-3P"";108.460000;-71.810000;0.000000;top"
"Q4;""IRLB4030PBF"";""TO254P483X1016X1994-3P"";109.460000;-93.810000;0.000000;top"
"Q5;""IPD90N10S4L06ATMA1"";""IPD90N10S4L06ATMA1"";93.000000;-55.450000;0.000000;top"
"Q6;""IPD90N10S4L06ATMA1"";""IPD90N10S4L06ATMA1"";92.000000;-78.000000;0.000000;top"
"Q7;""BC817"";""SOT-23_Handsoldering"";84.000000;-139.500000;180.000000;top"
"Q8;""BC817"";""SOT-23_Handsoldering"";84.000000;-143.000000;180.000000;top"
"Q9;""IPD90N10S4L06ATMA1"";""IPD90N10S4L06ATMA1"";112.000000;-78.000000;0.000000;top"
"Q10;""IPD90N10S4L06ATMA1"";""IPD90N10S4L06ATMA1"";110.560000;-55.400000;0.000000;top"
"R1;""2.2"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";79.000000;-99.000000;180.000000;top"
"R2;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";86.000000;-70.000000;180.000000;top"
"R3;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";85.000000;-89.000000;180.000000;top"
"R4;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";90.000000;-75.000000;0.000000;top"
"R5;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";85.000000;-93.000000;180.000000;top"
"R6;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";119.000000;-93.000000;90.000000;top"
"R7;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";110.000000;-75.000000;0.000000;top"
"R8;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";103.000000;-73.000000;180.000000;top"
"R9;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";101.000000;-91.000000;180.000000;top"
"R10;""2.2"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";98.000000;-128.000000;180.000000;top"
"R13;""12k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";85.000000;-147.000000;-90.000000;top"
"R14;""5k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";58.000000;-132.000000;-90.000000;top"
"R15;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";146.000000;-129.000000;90.000000;top"
"R16;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";143.000000;-129.000000;90.000000;top"
"R23;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";91.500000;-139.000000;180.000000;top"
"R24;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";91.500000;-137.000000;180.000000;top"
"R27;""100"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";67.000000;-119.000000;90.000000;top"
"R28;""1k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";71.000000;-119.000000;90.000000;top"
"R29;""330"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";69.000000;-119.000000;90.000000;top"
"R30;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-143.500000;0.000000;top"
"R31;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-145.500000;180.000000;top"
"R38;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";116.000000;-144.000000;-90.000000;top"
"R39;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";113.000000;-144.000000;-90.000000;top"
"R40;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";56.000000;-126.050000;0.000000;top"
"R41;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";56.000000;-128.000000;0.000000;top"
"R42;""GMR100HTBFER015"";""R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"";72.000000;-73.000000;0.000000;top"
"R43;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";146.000000;-133.000000;90.000000;top"
"R44;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";143.000000;-133.000000;90.000000;top"
"R45;""40k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";144.000000;-136.000000;0.000000;top"
"R46;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";109.000000;-140.000000;90.000000;top"
"R47;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";112.000000;-139.950000;90.000000;top"
"R48;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";84.000000;-133.000000;180.000000;top"
"R49;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";84.000000;-135.000000;180.000000;top"
"TP1;""575-4"";""5754"";56.000000;-66.000000;0.000000;top"
"TP2;""575-4"";""5754"";56.000000;-77.000000;0.000000;top"
"TP3;""575-4"";""5754"";143.500000;-108.800000;0.000000;top"
"TP4;""575-4"";""5754"";143.500000;-120.500000;0.000000;top"
"U1;""ESP32-WROOM-32"";""ESP32-WROOM-32"";70.000000;-139.885000;180.000000;top"
"U2;""IR2110S"";""SOIC-16W_7.5x10.3mm_P1.27mm"";89.000000;-108.000000;-90.000000;top"
"U3;""IR2110S"";""SOIC-16W_7.5x10.3mm_P1.27mm"";89.000000;-123.000000;-90.000000;top"
"U4;""INA228"";""VSSOP-10_3x3mm_P0.5mm"";69.000000;-80.000000;0.000000;top"
"U5;""LD1086DT33TR"";""TO-252-2"";56.000000;-110.000000;180.000000;top"
"U6;""LD1086DT50TR"";""TO-252-2"";56.000000;-102.000000;180.000000;top"
"U7;""CH340G"";""SOIC-16_3.9x9.9mm_P1.27mm"";100.250000;-137.745000;90.000000;top"
"U8;""3544-2"";""3544-2"";65.000000;-69.000000;90.000000;top"
